Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2026,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6625,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,3396,0,0,10,0,0,81,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2562,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3749,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1781,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2741,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1860,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NVE43,NHS ENGLAND SOUTH EAST ,HASTINGS GP LED HEALTH CENTRE,0,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
MSitAE-JUNE-2026,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,63
MSitAE-JUNE-2026,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,16902,0,0,0,0,0,2220,0,0,0,0,0,967,11,2975,0,0,191
MSitAE-JUNE-2026,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NNJ10,NHS ENGLAND MIDLANDS ,ENDERBY LEISURE CENTRE,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NNJ11,NHS ENGLAND MIDLANDS ,LUTTERWORTH HOSPITAL,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2472,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2680,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,22940,873,11346,0,0,0,8741,0,271,0,0,0,999,611,6395,0,0,159
MSitAE-JUNE-2026,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
MSitAE-JUNE-2026,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7715,0,1769,0,0,0,2571,0,0,0,0,0,588,311,1580,0,0,459
MSitAE-JUNE-2026,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,10646,0,3746,0,0,537,3291,0,103,0,0,0,623,175,3378,0,0,2593
MSitAE-JUNE-2026,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,2994,0,0,0,0,0,78,0,0,0,0,0,0,0,0,122
MSitAE-JUNE-2026,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,18942,0,1984,873,0,97,4361,0,25,139,0,0,947,163,2301,0,0,667
MSitAE-JUNE-2026,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4049,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7556,0,0,1255,0,0,310,0,0,25,0,0,0,0,0,0
MSitAE-JUNE-2026,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,DJV01,NHS ENGLAND SOUTH EAST ,HERNE BAY HEALTH CARE LTD,0,0,2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5634,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0,0,1137,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
MSitAE-JUNE-2026,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7190,0,3674,0,0,118,3867,0,83,0,0,0,325,743,2475,0,0,771
MSitAE-JUNE-2026,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6692,0,1212,0,0,0,3055,0,0,0,0,0,749,149,1886,0,0,373
MSitAE-JUNE-2026,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11549,0,0,0,0,0,2279,0,0,0,0,0,178,24,1773,0,0,335
MSitAE-JUNE-2026,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,14344,0,12033,0,0,0,4825,0,978,0,0,0,332,755,3991,0,86,2111
MSitAE-JUNE-2026,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,28365,1621,1488,1630,0,536,11186,133,137,553,0,30,732,922,8543,22,16,1717
MSitAE-JUNE-2026,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2286,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,10125,0,0,26,0,0,2459,0,0,0,0,0,347,20,3532,0,0,470
MSitAE-JUNE-2026,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,7365,0,13715,0,0,0,4325,0,988,0,0,0,660,620,2558,0,42,1453
MSitAE-JUNE-2026,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,6476,892,213,119,0,0,2854,0,0,28,0,0,459,178,1386,0,0,166
MSitAE-JUNE-2026,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,4999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,AQM01,NHS ENGLAND SOUTH EAST ,FAVERSHAM MEDICAL PRACTICE MIU,0,0,2781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,G3P9C,NHS ENGLAND SOUTH WEST ,TROWBRIDGE MINOR INJURIES UNIT,0,0,1560,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,9609,0,0,315,0,0,374,0,0,91,0,0,0,0,0,0
MSitAE-JUNE-2026,NQT1I,NHS ENGLAND SOUTH WEST ,CHIPPENHAM COMMUNITY HOSPITAL,0,0,1910,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1547,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,1043,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,3940,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,7215,0,4064,0,0,0,3726,0,191,0,0,0,327,140,1551,0,4,445
MSitAE-JUNE-2026,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5581,0,7164,0,0,0,2481,0,58,0,0,0,508,48,1776,0,0,62
MSitAE-JUNE-2026,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4890,0,302,211,0,8,450,0,0,17,0,0,15,0,1010,0,0,76
MSitAE-JUNE-2026,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,8225,0,990,68,0,0,2372,0,0,0,0,0,411,348,1708,0,0,346
MSitAE-JUNE-2026,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,8845,0,443,0,0,0,2115,0,0,0,0,0,353,88,1773,0,0,627
MSitAE-JUNE-2026,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,7434,0,1853,0,0,0,1001,0,0,0,0,0,381,259,1194,0,0,0
MSitAE-JUNE-2026,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,10952,0,8659,0,0,0,4102,0,7,0,0,0,583,644,1917,0,0,281
MSitAE-JUNE-2026,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,9521,0,6405,279,0,997,3430,0,930,62,0,0,271,822,1711,0,0,489
MSitAE-JUNE-2026,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,22718,0,9492,1573,0,45,10077,0,14,344,0,0,1214,493,3970,0,0,1909
MSitAE-JUNE-2026,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10249,0,0,0,0,0,4393,0,0,0,0,0,509,606,3157,0,0,931
MSitAE-JUNE-2026,RWE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,23347,2312,0,0,0,0,8981,137,0,0,0,0,1114,831,6663,3,0,3636
MSitAE-JUNE-2026,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
MSitAE-JUNE-2026,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY NHS FOUNDATION TRUST,6921,0,2449,803,0,87,2361,0,1,193,0,0,510,13,2360,0,0,1141
MSitAE-JUNE-2026,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7299,0,8571,0,0,0,3956,0,256,0,0,0,222,563,2695,0,226,698
MSitAE-JUNE-2026,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816
MSitAE-JUNE-2026,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,15532,0,5037,265,0,426,5702,0,124,61,0,8,514,762,3902,0,35,1506
MSitAE-JUNE-2026,RH8,NHS ENGLAND SOUTH WEST ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,13391,0,4667,1382,0,120,6293,0,5,614,0,0,1128,256,3198,0,0,1944
MSitAE-JUNE-2026,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10541,0,7138,0,0,0,4288,0,168,0,0,0,160,80,2116,0,0,269
MSitAE-JUNE-2026,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,15729,549,8487,718,0,496,7951,0,107,378,0,11,959,909,4768,0,0,1163
MSitAE-JUNE-2026,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4654,0,0,85,0,87,2335,0,0,0,0,0,227,389,816,0,0,182
MSitAE-JUNE-2026,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8899,121,8611,0,0,0,5786,11,103,0,0,0,789,322,3107,0,0,1681
MSitAE-JUNE-2026,RKB,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,13134,2571,6114,0,0,0,5216,59,134,0,0,0,39,18,856,30,36,371
MSitAE-JUNE-2026,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,7808,0,4553,0,0,0,3579,0,721,0,0,0,682,422,2590,0,0,1401
MSitAE-JUNE-2026,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,4816,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,6415,0,0,0,0,0,311,0,0,0,0,0,0,0,6,0,243
MSitAE-JUNE-2026,RR8,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LEEDS TEACHING HOSPITALS NHS TRUST,19056,843,10524,60,0,422,6989,0,147,14,0,0,1471,452,3597,0,0,1261
MSitAE-JUNE-2026,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13518,0,0,555,0,0,3339,0,0,0,0,0,356,153,1469,0,0,460
MSitAE-JUNE-2026,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7724,0,9906,0,0,2061,3734,0,475,0,0,41,129,3,2371,0,410,2470
MSitAE-JUNE-2026,RTX,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,9213,0,2958,137,0,2124,4213,0,69,16,0,34,800,703,3199,0,16,935
MSitAE-JUNE-2026,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,15007,0,6619,0,0,0,6701,0,116,0,0,0,1320,689,3189,0,0,887
MSitAE-JUNE-2026,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8798,0,9468,376,0,396,4019,0,163,157,0,0,833,313,1826,0,0,2506
MSitAE-JUNE-2026,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1307,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,G0Q0L,NHS ENGLAND LONDON,BARKING HOSPITAL UTC,0,0,3016,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2839,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,28237,3491,12217,3168,515,677,11424,139,292,1167,30,28,3584,103,5831,115,101,446
MSitAE-JUNE-2026,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,4248,241,1691,22,0,14,1410,0,58,6,0,0,272,251,1410,0,0,82
MSitAE-JUNE-2026,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,28151,0,8006,10,0,6,9496,0,262,3,0,1,1708,1086,8934,0,183,1137
MSitAE-JUNE-2026,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,26821,529,17155,229,4,260,7942,10,821,63,0,11,906,1778,6270,1,144,759
MSitAE-JUNE-2026,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4896,0,0,513,0,4644,2345,0,0,168,0,10,220,61,1925,0,0,511
MSitAE-JUNE-2026,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,9978,0,4385,37,0,143,2285,0,143,6,0,0,771,94,4460,0,0,855
MSitAE-JUNE-2026,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6141,0,0,0,0,0,1097,0,0,0,0,0,1,0,831,0,0,256
MSitAE-JUNE-2026,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,18544,0,8458,0,0,0,6944,0,0,0,0,0,83,70,5291,0,0,2438
MSitAE-JUNE-2026,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,12817,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16419,1959,8172,528,0,0,8204,9,316,228,0,0,781,1229,4915,0,0,2514
