Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2026,REP,NHS ENGLAND NORTH WEST ,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1462,0,0,0,0,0,159,0,0,0,0,0,0,0,107,0,17
MSitAE-JUNE-2026,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
MSitAE-JUNE-2026,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12015,0,5849,306,0,287,5656,0,172,85,0,17,565,445,2822,0,33,442
MSitAE-JUNE-2026,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,12096,0,9868,0,0,46,6108,0,352,0,0,0,611,109,3082,0,0,1781
MSitAE-JUNE-2026,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,10862,0,6835,0,0,426,5433,0,147,0,0,8,493,729,5411,0,0,445
MSitAE-JUNE-2026,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,9439,0,0,0,0,0,2838,0,0,0,0,0,252,276,1334,0,0,38
MSitAE-JUNE-2026,RMP,NHS ENGLAND NORTH WEST ,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,9061,0,2147,432,0,166,4339,0,52,0,0,0,361,447,1516,0,0,298
MSitAE-JUNE-2026,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1478,0,0,0,0,0,23,0,0,0,0,0,0,0,3,598
MSitAE-JUNE-2026,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",6734,0,6680,0,0,0,3270,0,133,0,0,0,368,139,2618,0,0,576
MSitAE-JUNE-2026,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,35585,384,12465,0,0,281,14952,0,155,0,0,21,1875,2391,10471,0,0,7763
MSitAE-JUNE-2026,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7804,0,2836,0,0,0,3428,0,122,0,0,0,561,409,2418,0,0,543
MSitAE-JUNE-2026,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,8750,0,0,0,0,0,346,0,0,0,0,0,0,0,0,47
MSitAE-JUNE-2026,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1132,0,0,68,0,0,4,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RVJ,NHS ENGLAND SOUTH WEST ,NORTH BRISTOL NHS TRUST,9801,0,0,0,0,0,4182,0,0,0,0,0,490,554,3053,0,0,2386
MSitAE-JUNE-2026,RVV,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,14049,0,13383,0,0,0,6127,0,647,0,0,0,714,1059,3202,0,599,520
MSitAE-JUNE-2026,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,5083,0,11454,0,0,0,2474,0,12,0,0,0,103,5,1673,0,491,2444
MSitAE-JUNE-2026,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,9108,0,8786,0,0,0,4284,0,74,0,0,0,402,170,2149,0,3,410
MSitAE-JUNE-2026,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,8554,0,990,214,0,1382,3432,0,40,81,0,0,587,210,2638,0,49,957
MSitAE-JUNE-2026,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,12935,2218,9740,0,0,350,7362,122,881,0,0,1,155,1067,3041,0,1604,4212
MSitAE-JUNE-2026,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,17631,123,6688,120,0,65,6640,0,196,0,0,0,1795,274,3379,0,163,885
MSitAE-JUNE-2026,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,11568,1033,8408,413,0,0,5087,220,223,183,0,0,719,231,2650,0,21,95
MSitAE-JUNE-2026,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,8822,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12478,4116,7597,0,0,599,5178,28,441,0,0,0,570,0,3791,0,0,1022
MSitAE-JUNE-2026,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
MSitAE-JUNE-2026,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,5388,0,0,2317,0,0,16,0,0,14,0,0,0,0,0,0
MSitAE-JUNE-2026,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,175,0,0,2421,0,0,0,0,0,7,0,0,0,0,0,0
MSitAE-JUNE-2026,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,541,0,0,2412,0,0,0,0,0,7,0,0,0,0,0,0
MSitAE-JUNE-2026,NNJ15,NHS ENGLAND MIDLANDS ,RUTLAND MINOR ILLNESS AND INJURY SERVICE (FORMERLY WLHH PRE-APRIL 2026),0,0,0,0,0,624,0,0,0,0,0,1,0,0,0,0,0,0
MSitAE-JUNE-2026,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1934,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RA7,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,16168,2583,0,0,0,0,5471,155,0,0,0,0,1064,498,4981,6,0,1432
MSitAE-JUNE-2026,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9476,1072,3910,0,0,0,2678,0,2,0,0,0,638,195,2548,0,20,1243
MSitAE-JUNE-2026,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17854,0,7390,180,0,0,6808,0,130,38,0,0,596,403,8042,0,0,987
MSitAE-JUNE-2026,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5540,0,1740,241,0,17,2059,0,1,81,0,0,130,11,1193,0,0,275
MSitAE-JUNE-2026,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8710,0,4917,735,0,349,4086,0,92,362,0,0,604,0,2406,0,0,498
MSitAE-JUNE-2026,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,11828,0,13707,0,0,0,4936,0,937,0,0,0,883,615,5076,0,1,253
MSitAE-JUNE-2026,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,10194,0,0,0,0,0,3304,0,0,0,0,0,585,3,2086,0,0,529
MSitAE-JUNE-2026,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,7043,0,5442,0,0,0,3637,0,67,0,0,0,744,196,2140,0,11,126
MSitAE-JUNE-2026,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9111,1262,7091,380,0,1039,4226,3,410,171,0,39,839,18,3220,0,0,3468
MSitAE-JUNE-2026,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,11235,2833,3320,1553,22,0,4048,100,0,386,0,0,734,47,2262,0,0,350
MSitAE-JUNE-2026,RJ6,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,13584,0,4716,0,0,0,5264,0,0,0,0,0,250,601,1035,0,0,139
MSitAE-JUNE-2026,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9173,0,4014,342,0,0,2994,0,271,88,0,0,389,418,1838,0,0,617
MSitAE-JUNE-2026,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5734,0,2764,0,0,0,2653,0,300,0,0,0,430,671,1899,0,0,1190
MSitAE-JUNE-2026,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,15650,0,10627,37,0,462,6929,0,653,6,0,0,1423,702,3591,0,0,294
MSitAE-JUNE-2026,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,11647,0,6030,0,0,0,5432,0,1018,0,0,0,641,391,3797,0,0,251
MSitAE-JUNE-2026,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
MSitAE-JUNE-2026,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,11370,1732,7267,138,1,683,3922,8,182,27,0,1,658,744,6026,0,65,827
MSitAE-JUNE-2026,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10028,64,4742,0,0,140,5022,0,423,0,0,0,200,15,3709,4,19,965
MSitAE-JUNE-2026,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,11659,0,3844,0,0,0,2656,0,33,0,0,0,448,323,3904,0,0,301
MSitAE-JUNE-2026,RNN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8935,0,2888,234,0,29,3782,0,139,60,0,5,465,246,2220,0,0,476
MSitAE-JUNE-2026,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4816,344,2078,278,0,0,2390,0,0,141,0,0,378,219,1211,0,0,983
MSitAE-JUNE-2026,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,14627,0,4006,0,0,0,5343,0,5,0,0,0,1328,246,3871,0,498,956
MSitAE-JUNE-2026,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4991,0,965,0,0,0,970,0,0,0,0,0,22,0,572,0,0,216
MSitAE-JUNE-2026,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,20669,0,7091,706,0,0,6295,0,276,0,0,0,1082,50,2940,0,0,303
MSitAE-JUNE-2026,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,9059,0,1890,0,0,428,2480,0,0,0,0,0,565,318,1723,0,0,362
MSitAE-JUNE-2026,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5867,0,4858,2,0,2,2359,0,35,1,0,0,582,5,1882,0,0,41
MSitAE-JUNE-2026,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,12086,1843,8630,0,0,1215,5242,141,145,0,0,0,513,20,3911,28,0,3067
MSitAE-JUNE-2026,RTE,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,14616,0,0,0,0,0,5507,0,0,0,0,0,313,472,2457,0,0,3054
MSitAE-JUNE-2026,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,10864,0,14483,0,0,0,2222,0,0,0,0,0,2,0,4737,0,15,521
MSitAE-JUNE-2026,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,13989,0,0,0,0,0,355,0,0,0,0,0,0,0,0,34
MSitAE-JUNE-2026,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10403,0,4169,0,0,0,5529,0,504,0,0,0,882,476,3751,0,0,2118
MSitAE-JUNE-2026,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,17123,0,4321,0,0,0,5236,0,399,0,0,0,690,1034,4706,0,0,1265
MSitAE-JUNE-2026,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8135,0,8548,0,0,582,2022,0,50,0,0,0,549,24,5087,0,0,562
MSitAE-JUNE-2026,RWW,NHS ENGLAND NORTH WEST ,NORTH CHESHIRE AND MERSEY NHS FOUNDATION TRUST,7101,0,6161,280,0,427,3244,0,125,77,0,3,490,916,1895,0,0,131
MSitAE-JUNE-2026,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12850,0,3285,210,0,103,4178,0,189,31,0,6,1018,336,2946,0,101,1228
MSitAE-JUNE-2026,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,13012,0,4167,0,0,7083,5962,0,0,0,0,0,1730,31,3520,0,0,894
MSitAE-JUNE-2026,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,10093,1289,3124,0,0,0,3926,0,131,0,0,0,222,263,3437,954,0,1289
MSitAE-JUNE-2026,RXW,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,11834,0,2553,0,0,0,6649,0,313,0,0,0,685,1171,3597,0,198,2182
MSitAE-JUNE-2026,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,2176,0,0,34,0,0,73,0,0,2,0,0,0,0,0,0
MSitAE-JUNE-2026,RYG,NHS ENGLAND MIDLANDS ,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32
MSitAE-JUNE-2026,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,13410,0,0,633,0,0,268,0,0,10,0,0,0,0,0,0
MSitAE-JUNE-2026,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2311,0,0,197,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11749,1519,6329,1200,0,1758,4600,14,183,514,0,43,310,1,4836,38,0,1281
MSitAE-JUNE-2026,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,15936,0,4484,0,0,0,6089,0,0,0,0,0,1080,399,4199,7,0,2628
MSitAE-JUNE-2026,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,26847,987,18586,0,0,0,10538,9,1839,0,0,0,1046,1112,4190,1,28,1297
MSitAE-JUNE-2026,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,9040,0,0,0,0,0,3819,0,0,0,0,0,900,135,2716,0,0,2044
MSitAE-JUNE-2026,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13771,2493,15755,0,0,0,5847,240,240,0,0,0,572,659,3692,0,0,2405
MSitAE-JUNE-2026,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,11703,1076,3691,1782,0,731,4681,14,18,638,0,7,772,1112,3233,0,0,2543
MSitAE-JUNE-2026,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13789,0,7688,0,0,0,4589,0,18,0,0,0,722,319,2295,0,0,1597
MSitAE-JUNE-2026,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,11200,699,2080,0,0,0,3984,35,5,0,0,0,382,900,2400,0,0,375
MSitAE-JUNE-2026,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,10595,0,3256,8,0,1,3907,0,540,1,0,0,550,758,1981,0,0,254
MSitAE-JUNE-2026,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1604,0,0,0,0,0,21,0,0,0,0,0,0,0,42,0
MSitAE-JUNE-2026,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,10123,0,2259,1714,0,1642,3906,0,57,0,0,0,236,231,2600,0,0,442
MSitAE-JUNE-2026,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,8797,0,3737,20,0,3,4000,0,196,6,0,0,473,455,2497,0,121,744
MSitAE-JUNE-2026,RTH,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12992,1478,3672,1844,0,170,3951,0,91,382,0,27,347,8,5446,100,26,4220
MSitAE-JUNE-2026,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6424,251,0,453,0,0,2922,0,0,0,0,0,449,203,1536,0,0,528
MSitAE-JUNE-2026,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3577,0,0,188,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,14313,0,16507,0,0,0,6452,0,291,0,0,0,577,473,6517,0,0,85
MSitAE-JUNE-2026,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,1696,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,12858,26,6240,0,0,0,6068,2,590,0,0,0,387,288,3564,0,0,757
MSitAE-JUNE-2026,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,11607,1044,0,0,0,0,4109,2,0,0,0,0,673,22,3726,9,0,1775
MSitAE-JUNE-2026,RBL,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,8388,0,2737,0,0,175,4318,0,40,0,0,4,374,705,2250,0,0,1824
MSitAE-JUNE-2026,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,16456,0,18040,0,0,860,8170,0,423,0,0,9,1095,582,4811,0,0,538
MSitAE-JUNE-2026,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,27750,0,9330,0,0,0,10351,0,397,0,0,0,958,1231,7651,0,361,2628
MSitAE-JUNE-2026,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5421,0,0,265,0,0,149,0,0,5,0,0,0,0,0,0
Total,Total,Total,Total,1461113,54348,846810,27489,542,47604,569323,2061,29400,7576,30,527,77353,49466,390733,1431,5790,136799
